rate,comment
width: 20%;,"Chất lượng camera kém quá, hình không mờ , không rỏ nét gì hết, vậy mà để độ phân giải 1080, sợ cái ông tiki này luôn."
width: 20%;,"Ezviz thì ngon mà sản phẩm mình nhận bị lỗi , loa rè quá, bật lên ko nói gì đã rè điết tai. 
Tiki có đổi lại cái khác cho mình ko"
width: 40%;,"Cam này ko có đàm thoại 2 chiều. Ko đúng như mô tả. Ban đầu giắc cắm usb với cam kém tiếp xúc, sau 1 đêm mới hoạt động"
width: 20%;,"Ở chế độ giám sát chuyển động, camera xhir quay được chiều ngang mà ko thẻ quay theo chiều dọc. Chắc hàng lỗi. :("
width: 40%;,làm theo hướng dẫn thử rất nhiều lần nhưng không nhận thẻ nhớ  yêu cầu tiki hỗ trợ
width: 40%;,Mua 3 cái nhưng 1 cái camera C6N thì báo lỗi và không nhận thẻ nhớ
width: 20%;,Camera kg duoc nét.kg tốt ve ban đếm.co ve hong ngoại kg tốt.camera ghi hay gian đoạn.khong ghi suôn se va liên tục.gio sao vay shop
width: 20%;,"thật sự thất vọng, hình ảnh camera rất mờ so với 2mp"
width: 20%;,"Ko chấp nhận đc
Sạc ko đúng chân của nó lại phải đi mua sạc khác 
Treo đầu dê bán thịt chó là đây"
width: 20%;,"Cứ hiện như thế này là sao ah, làm sao để xóa tk này đây :(("
width: 40%;,loại này 2.0 hDmà quay đêm không nét bằng c6CN 1.0
width: 40%;,"Cái này quay tít mù ko theo ý muốn, hàng tạm dc, ko nên lấy"
width: 20%;,"sao không có thẻ nhớ, không hài lòng"
width: 20%;,không hài lòng về chất lượng hình ảnh
width: 40%;,Tôi cảm thấy sản phẩm tạm tạm
width: 40%;,ko lật đc hình ảnh
width: 20%;,
width: 40%;,
width: 20%;,
width: 40%;,
width: 20%;,"Quảng cáo 1 kiểu bán hàng 1 kiểu. Camera chỉ có độ phân giải HD chứ không phải FHD. 10 Led không phải 11 Led. mặt sau không có chỗ cắm cab mạng như hình. Giờ mới đọc comments thì rất nhiều người bị như thế mà tiki không có biện pháp giải quyết. Giống kiểu như bán hàng tồn phiên bản cũ, nhưng quảng cáo thì là bản mới, ai kêu thì xử lý, không thì coi như bán trót lọt ấy. Thất vọng."
